company,typename,inches,screenresolution,ram,opsys,weight,ips,touchscreen,cpu_brand,ssd,hdd,flash_storage,hybrid,gpu_brand,os
Asus,Notebook,14.0,1920x1080,8,Windows 10,1.4,No,No,Intel Core i5,256,0,0,0,Intel,Windows
Dell,Notebook,17.3,1920x1080,8,Windows 10,4.42,Yes,No,Intel Core i7,0,1000,0,0,Nvidia,Windows
Acer,Notebook,15.6,1366x768,4,Windows 10,2.4,No,No,Intel Core i5,0,500,0,0,Intel,Windows
HP,Ultrabook,15.6,1920x1080,8,Windows 10,1.91,No,No,Intel Core i7,256,0,0,0,Intel,Windows
Acer,Notebook,15.6,1920x1080,4,Windows 10,2.2,No,No,Intel Core i3,256,0,0,0,Nvidia,Windows
HP,Notebook,15.6,1920x1080,4,Windows 10,1.91,No,No,AMD Processor,256,0,0,0,AMD,Windows
HP,Notebook,15.6,1366x768,6,Windows 10,2.19,No,No,Intel Core i7,0,1000,0,0,AMD,Windows
Dell,Ultrabook,13.3,1920x1080,8,Windows 10,1.22,Yes,Yes,Intel Core i5,128,0,0,0,Intel,Windows
Dell,Notebook,15.6,1920x1080,8,Windows 10,1.9,No,No,Intel Core i5,256,0,0,0,Intel,Windows
Other,Gaming,17.3,3840x2160,32,Windows 10,3.49,No,Yes,Intel Core i7,512,0,0,0,Nvidia,Windows
Dell,Ultrabook,13.3,1920x1080,8,Windows 10,1.2,No,No,Intel Core i7,256,0,0,0,Intel,Windows
HP,Workstation,15.6,1920x1080,8,Windows 10,2.6,No,No,Intel Core i7,256,0,0,0,Nvidia,Windows
Acer,Netbook,11.6, 1366x768,4,Chrome OS,1.25,Yes,No,Other Intel Processor,0,0,32,0,Intel,Other/No OS/Linux
Dell,Notebook,15.6,1920x1080,8,Windows 10,2.18,No,No,Intel Core i5,256,0,0,0,AMD,Windows
Other,Ultrabook,13.0,2160x1440,8,Windows 10,1.05,Yes,No,Intel Core i7,512,0,0,0,Intel,Windows
Asus,Notebook,15.6,1366x768,4,Windows 10,2.2,No,No,Intel Core i7,0,500,0,0,Nvidia,Windows
HP,Workstation,17.3,1920x1080,16,Windows 7,3.0,Yes,No,Other Intel Processor,256,0,0,0,Nvidia,Windows
Lenovo,Notebook,15.6,1920x1080,4,Windows 10,1.85,No,No,Intel Core i3,0,1000,0,0,Intel,Windows
Asus,Ultrabook,14.0,1920x1080,8,Windows 10,1.3,Yes,No,Intel Core i7,256,0,0,0,Nvidia,Windows
Dell,Notebook,14.0,1920x1080,8,Windows 10,1.64,No,No,Intel Core i5,256,0,0,0,Intel,Windows
Dell,Ultrabook,13.3,3200x1800,16,Windows 10,1.2,No,Yes,Intel Core i7,512,0,0,0,Intel,Windows
HP,Notebook,15.6,1920x1080,6,Windows 10,1.95,Yes,No,AMD Processor,256,0,0,0,AMD,Windows
HP,Notebook,14.0,1366x768,4,Windows 10,1.95,No,No,Intel Core i5,0,500,0,0,Intel,Windows
HP,Ultrabook,13.3,1920x1080,8,Windows 10,1.38,Yes,No,Intel Core i7,256,0,0,0,Nvidia,Windows
Dell,Notebook,15.6,1920x1080,4,Windows 10,2.25,No,No,Intel Core i5,0,1000,0,0,Intel,Windows
Acer,Notebook,15.6,1920x1080,6,Windows 10,2.1,Yes,Yes,Intel Core i3,0,1000,0,0,Intel,Windows
HP,Notebook,15.6,1920x1080,8,Windows 10,1.84,No,No,Intel Core i5,256,500,0,0,Intel,Windows
Asus,Ultrabook,14.0,1920x1080,8,Windows 10,1.1,No,No,Intel Core i5,256,0,0,0,Intel,Windows
HP,Ultrabook,14.0,1920x1080,8,Windows 10,1.54,No,No,Intel Core i7,512,0,0,0,Intel,Windows
HP,Notebook,15.6,1366x768,4,Windows 10,1.86,No,No,Intel Core i5,0,1000,0,0,Intel,Windows
Dell,Workstation,15.6,1920x1080,8,Windows 10,2.23,No,No,Intel Core i7,0,1000,0,0,Nvidia,Windows
Toshiba,Ultrabook,13.3,1920x1080,32,Windows 10,1.05,No,Yes,Intel Core i7,512,0,0,0,Intel,Windows
Lenovo,Netbook,12.5,1920x1080,16,Windows 10,1.3,Yes,Yes,Intel Core i7,512,0,0,0,Intel,Windows
Asus,Gaming,17.3,1920x1080,16,Windows 10,2.99,No,No,Intel Core i7,256,1000,0,0,Nvidia,Windows
Dell,Gaming,15.6,1920x1080,8,Linux,2.62,No,No,Intel Core i7,0,1000,0,0,Nvidia,Other/No OS/Linux
Lenovo,Notebook,14.0,1366x768,4,Windows 10,2.1,No,No,Other Intel Processor,0,500,0,0,Intel,Windows
HP,Workstation,17.3,1920x1080,8,Windows 10,3.14,No,No,Intel Core i7,0,500,0,0,Nvidia,Windows
Lenovo,Ultrabook,12.5,1920x1080,8,Windows 10,1.36,Yes,No,Intel Core i7,256,0,0,0,Intel,Windows
HP,Gaming,17.3,1920x1080,12,Windows 10,3.78,Yes,No,Intel Core i7,0,1000,0,0,Nvidia,Windows
HP,Notebook,15.6,1920x1080,4,Windows 10,1.86,No,No,Intel Core i3,0,1000,0,0,Intel,Windows
HP,Notebook,15.6,1920x1080,6,Windows 10,2.04,No,No,AMD Processor,0,0,0,1000,AMD,Windows
Asus,Notebook,14.1,1366x768,4,Windows 10,1.65,No,No,Other Intel Processor,0,0,32,0,Intel,Windows
Lenovo,2 in 1 Convertible,14.0,1920x1080,4,Windows 10,1.8,Yes,Yes,Intel Core i7,128,0,0,0,Intel,Windows
Lenovo,Notebook,15.6,1920x1080,4,No OS,2.2,No,No,Intel Core i3,0,1000,0,0,AMD,Other/No OS/Linux
HP,Notebook,15.6,1920x1080,8,Windows 10,2.04,No,No,Intel Core i7,256,0,0,0,Intel,Windows
Lenovo,Notebook,15.6,1920x1080,16,Windows 10,2.5,No,No,Intel Core i7,512,0,0,0,Nvidia,Windows
Dell,Workstation,15.6,1920x1080,8,Windows 10,2.23,No,No,Intel Core i5,0,500,0,0,AMD,Windows
Dell,Notebook,15.6,1366x768,6,Windows 10,2.3,No,No,Intel Core i3,0,1000,0,0,Intel,Windows
HP,Ultrabook,15.6,1920x1080,8,Windows 10,1.83,Yes,No,Intel Core i7,256,0,0,0,Nvidia,Windows
Other,Notebook,12.3,2736x1824,6,Windows 10,1.4,Yes,No,Other Intel Processor,0,0,64,0,Intel,Windows
Toshiba,Notebook,15.6,1920x1080,16,Windows 10,2.4,Yes,No,Intel Core i7,512,0,0,0,Nvidia,Windows
Lenovo,Ultrabook,12.5,1920x1080,8,Windows 10,1.36,Yes,No,Intel Core i5,256,0,0,0,Intel,Windows
Dell,Notebook,15.6,1920x1080,8,Windows 10,2.0,No,No,Intel Core i7,256,0,0,0,Nvidia,Windows
Toshiba,Notebook,13.3,1366x768,8,Windows 10,1.5,No,No,Intel Core i5,256,0,0,0,Intel,Windows
Other,Gaming,14.0,1920x1080,16,Windows 10,1.95,No,No,Intel Core i7,512,0,0,0,Nvidia,Windows
Asus,Notebook,15.6,1920x1080,8,Windows 10,2.0,No,No,Intel Core i7,256,1000,0,0,Intel,Windows
Lenovo,Notebook,14.0,1366x768,2,Windows 10,1.42,No,No,Other Intel Processor,0,0,32,0,Intel,Windows
Lenovo,Notebook,15.6,1920x1080,8,No OS,2.2,No,No,Intel Core i5,256,0,0,0,Nvidia,Other/No OS/Linux
HP,Notebook,14.0,1920x1080,4,Windows 7,1.54,No,No,Intel Core i5,0,500,0,0,Intel,Windows
Dell,Workstation,15.6,1920x1080,8,Windows 10,1.78,No,No,Intel Core i7,256,0,0,0,Nvidia,Windows
Asus,Notebook,14.0,1920x1080,4,Windows 10,2.0,No,No,Intel Core i3,256,0,0,0,Intel,Windows
Lenovo,Notebook,15.6,1920x1080,8,No OS,2.2,No,No,Intel Core i7,0,1000,0,0,Nvidia,Other/No OS/Linux
Lenovo,Gaming,15.6,1920x1080,8,Windows 10,3.2,Yes,No,Intel Core i7,256,1000,0,0,Nvidia,Windows
HP,Notebook,15.6,1366x768,4,Windows 10,1.96,No,No,Other Intel Processor,0,1000,0,0,Intel,Windows
MSI,Gaming,15.6,1920x1080,8,Windows 10,2.2,No,No,Intel Core i7,128,1000,0,0,Nvidia,Windows
MSI,Gaming,17.3,1920x1080,16,Windows 10,4.14,No,No,Intel Core i7,128,1000,0,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,14.0,1920x1080,8,Windows 10,1.8,Yes,Yes,Intel Core i7,256,0,0,0,Intel,Windows
Dell,Ultrabook,15.6,1920x1080,8,Windows 10,1.9,No,No,Intel Core i5,0,1000,0,0,AMD,Windows
Lenovo,Notebook,15.6,1366x768,8,Windows 10,2.2,No,No,Intel Core i5,256,0,0,0,Intel,Windows
Dell,Ultrabook,14.0,1920x1080,8,Windows 10,1.7,No,No,Intel Core i5,256,0,0,0,Intel,Windows
HP,2 in 1 Convertible,13.3, 1366x768,8,Windows 10,1.58,Yes,Yes,Intel Core i5,256,0,0,0,Intel,Windows
Asus,Gaming,17.3,1920x1080,16,Windows 10,3.0,No,No,Intel Core i7,256,1000,0,0,Nvidia,Windows
Lenovo,Workstation,15.6,1920x1080,16,Windows 7,2.18,No,No,Intel Core i7,512,0,0,0,Nvidia,Windows
Dell,Notebook,15.6,1920x1080,8,Windows 10,2.02,No,No,Intel Core i7,128,1000,0,0,Intel,Windows
Dell,Notebook,14.0,1366x768,4,Windows 10,1.76,No,No,Intel Core i5,0,500,0,0,Intel,Windows
Acer,Notebook,15.6,1366x768,4,Windows 10,2.1,No,No,AMD Processor,128,0,0,0,AMD,Windows
HP,Notebook,15.6,1920x1080,8,Windows 10,2.04,No,No,Intel Core i5,0,1000,0,0,Intel,Windows
Dell,2 in 1 Convertible,11.6, 1366x768,4,Windows 10,1.47,No,Yes,Other Intel Processor,0,500,0,0,Intel,Windows
Dell,Notebook,15.6,1366x768,4,Linux,1.93,No,No,Intel Core i5,0,500,0,0,Intel,Other/No OS/Linux
Dell,Notebook,15.6,1920x1080,8,Windows 10,2.2,No,No,Intel Core i5,0,1000,0,0,AMD,Windows
Dell,2 in 1 Convertible,17.3,1920x1080,16,Windows 10,2.77,No,Yes,Intel Core i7,512,0,0,0,Nvidia,Windows
HP,Notebook,14.0,1920x1080,8,Windows 10,1.64,No,No,Intel Core i5,256,0,0,0,Nvidia,Windows
Acer,Notebook,15.6,1366x768,4,Linux,2.1,No,No,Other Intel Processor,0,1000,0,0,Intel,Other/No OS/Linux
HP,Gaming,17.3,1920x1080,8,Windows 10,3.35,Yes,No,Intel Core i7,128,1000,0,0,Nvidia,Windows
Other,Ultrabook,13.5,2256x1504,8,Windows 10 S,1.252,No,Yes,Intel Core i5,256,0,0,0,Intel,Windows
Asus,Gaming,15.6,1920x1080,8,Windows 10,2.2,No,No,Intel Core i7,0,1000,0,0,Nvidia,Windows
Lenovo,Notebook,15.6,1366x768,4,Windows 10,2.38,No,No,Intel Core i5,0,500,0,0,Intel,Windows
Lenovo,2 in 1 Convertible,14.0,2560x1440,16,Windows 10,1.42,No,Yes,Intel Core i7,512,0,0,0,Intel,Windows
HP,Notebook,15.6,1920x1080,8,Windows 10,1.9,No,No,Intel Core i7,0,1000,0,0,AMD,Windows
Lenovo,Notebook,15.6,1920x1080,16,Windows 10,2.5,No,No,Intel Core i7,0,0,0,1000,AMD,Windows
HP,Workstation,15.6,1920x1080,8,Windows 10,2.0,Yes,No,Intel Core i7,8,0,0,0,Nvidia,Windows
Asus,Gaming,17.3,1920x1080,8,Windows 10,3.0,No,No,Intel Core i7,0,1000,0,0,Nvidia,Windows
Other,Notebook,15.6,1920x1080,16,No OS,1.95,Yes,No,Intel Core i7,256,0,0,0,Nvidia,Other/No OS/Linux
Asus,Netbook,11.6,1366x768,4,Chrome OS,1.2,No,No,Other Intel Processor,0,0,16,0,Intel,Other/No OS/Linux
Asus,Notebook,14.0,1366x768,4,Windows 10,1.5,No,No,Other Intel Processor,0,0,32,0,Intel,Windows
Dell,Ultrabook,13.3,1920x1080,8,Windows 10,1.21,Yes,No,Intel Core i7,256,0,0,0,Intel,Windows
Lenovo,Gaming,15.6,1920x1080,16,Windows 10,2.5,Yes,No,AMD Processor,512,1000,0,0,AMD,Windows
Lenovo,Notebook,15.6,1920x1080,6,Windows 10,2.4,No,No,AMD Processor,0,1000,0,0,AMD,Windows
Lenovo,Notebook,15.6,1920x1080,4,Windows 10,2.2,No,No,Intel Core i3,0,1000,0,0,Nvidia,Windows
Lenovo,Gaming,15.6,1920x1080,16,Windows 10,2.5,Yes,No,Intel Core i7,256,0,0,0,Nvidia,Windows
Dell,Notebook,15.6,3840x2160,16,Windows 10,2.06,No,Yes,Intel Core i7,512,0,0,0,Nvidia,Windows
HP,Notebook,13.3,1920x1080,16,Windows 10,1.49,No,No,Intel Core i7,512,0,0,0,Intel,Windows
Other,Gaming,17.3,3840x2160,32,Windows 10,3.49,No,Yes,Intel Core i7,1000,0,0,0,Nvidia,Windows
Asus,Ultrabook,14.0,1920x1080,16,Windows 10,1.3,No,No,Intel Core i7,512,0,0,0,Nvidia,Windows
HP,Notebook,17.3,1920x1080,8,Windows 10,2.5,No,No,Intel Core i5,128,1000,0,0,Nvidia,Windows
MSI,Gaming,15.6,1920x1080,16,Windows 10,1.91,No,No,Intel Core i7,128,1000,0,0,Nvidia,Windows
Dell,2 in 1 Convertible,13.3,3200x1800,8,Windows 10,1.24,No,Yes,Intel Core i5,256,0,0,0,Intel,Windows
Lenovo,Notebook,15.6,1920x1080,4,Windows 10,2.05,No,No,Intel Core i3,128,0,0,0,Intel,Windows
Lenovo,Notebook,14.0,1920x1080,8,Windows 10,1.7,Yes,No,Intel Core i5,256,0,0,0,Intel,Windows
HP,2 in 1 Convertible,15.6, 1366x768,4,Windows 10,2.3,No,Yes,Intel Core i5,0,500,0,0,Intel,Windows
Dell,Notebook,15.6,1366x768,4,Linux,2.2,No,No,Other Intel Processor,0,500,0,0,Intel,Other/No OS/Linux
Lenovo,2 in 1 Convertible,13.3,1920x1080,8,Windows 10,1.37,Yes,Yes,Intel Core i5,256,0,0,0,Intel,Windows
HP,Ultrabook,15.6,1920x1080,8,Windows 7,1.88,No,No,Intel Core i7,256,0,0,0,Intel,Windows
Dell,Notebook,17.3,1920x1080,8,Linux,2.8,No,No,Intel Core i7,128,1000,0,0,AMD,Other/No OS/Linux
Acer,Notebook,15.6,1366x768,4,Windows 10,2.4,No,No,Other Intel Processor,0,500,0,0,Intel,Windows
HP,Notebook,15.6,1366x768,4,Windows 10,1.63,No,No,Intel Core i3,128,0,0,0,Intel,Windows
Lenovo,Ultrabook,14.0,2560x1440,24,Windows 10,1.32,No,No,Intel Core i7,512,0,0,0,Intel,Windows
Asus,Gaming,17.3,1920x1080,16,Windows 10,2.9,No,No,Intel Core i7,256,1000,0,0,Nvidia,Windows
Lenovo,Gaming,17.3,1920x1080,16,Windows 10,4.6,Yes,No,Intel Core i7,256,0,0,1000,Nvidia,Windows
HP,Netbook,11.6,1366x768,2,Windows 10,1.17,No,No,Other Intel Processor,0,0,32,0,Intel,Windows
Acer,Notebook,15.6,1366x768,4,Windows 10,2.4,No,No,Intel Core i3,0,500,0,0,Intel,Windows
Lenovo,Ultrabook,14.0,1920x1080,8,Windows 10,1.13,Yes,No,Intel Core i7,512,0,0,0,Intel,Windows
Lenovo,2 in 1 Convertible,13.3,3200x1800,16,Windows 10,1.3,Yes,Yes,Intel Core i7,512,0,0,0,Intel,Windows
Lenovo,Notebook,13.3,1920x1080,4,Windows 10,1.5,Yes,No,Intel Core i3,128,0,0,0,Intel,Windows
Asus,Gaming,15.6,1920x1080,8,Windows 10,2.5,No,No,Intel Core i7,256,0,0,0,Nvidia,Windows
HP,Notebook,15.6,1920x1080,8,Windows 10,1.86,No,No,Intel Core i5,0,1000,0,0,Intel,Windows
Dell,Notebook,15.6,1920x1080,8,Windows 10,2.0,No,No,Intel Core i7,128,1000,0,0,Nvidia,Windows
Dell,2 in 1 Convertible,15.6,1920x1080,16,Windows 10,2.0,No,Yes,Intel Core i7,512,0,0,0,Intel,Windows
HP,Notebook,14.0,1920x1080,8,Windows 10,1.48,No,No,Intel Core i5,256,0,0,0,Intel,Windows
Toshiba,Notebook,15.6,1920x1080,8,Windows 10,2.0,Yes,No,Intel Core i5,0,500,0,0,Intel,Windows
HP,2 in 1 Convertible,13.3,2560x1440,8,Windows 10,1.48,No,Yes,Intel Core i7,512,0,0,0,Intel,Windows
Lenovo,Notebook,15.6,1920x1080,8,Windows 10,2.3,No,No,Intel Core i5,256,0,0,0,Intel,Windows
Asus,2 in 1 Convertible,11.6, 1366x768,4,Windows 10,1.5,No,Yes,Other Intel Processor,0,0,32,0,Intel,Windows
Lenovo,Notebook,15.6,1920x1080,6,Windows 10,2.2,No,No,Intel Core i7,256,0,0,0,Nvidia,Windows
Acer,Notebook,14.0,1366x768,2,Chrome OS,1.68,No,No,Other Intel Processor,0,0,32,0,Intel,Other/No OS/Linux
HP,Notebook,17.3,1920x1080,4,Windows 10,2.71,No,No,AMD Processor,0,500,0,0,AMD,Windows
Lenovo,Notebook,15.6,1366x768,8,No OS,2.2,No,No,Intel Core i7,0,500,0,0,Nvidia,Other/No OS/Linux
MSI,Gaming,17.3,1920x1080,8,Windows 10,2.9,No,No,Intel Core i7,128,1000,0,0,Nvidia,Windows
Lenovo,Notebook,15.6,1920x1080,4,No OS,2.2,No,No,Intel Core i5,128,0,0,0,Intel,Other/No OS/Linux
Other,Ultrabook,13.5,2256x1504,4,Windows 10 S,1.252,No,Yes,Intel Core i5,128,0,0,0,Intel,Windows
Lenovo,Notebook,15.6,1366x768,8,No OS,2.2,No,No,Other Intel Processor,0,1000,0,0,Intel,Other/No OS/Linux
Asus,Gaming,17.3,1920x1080,8,Windows 10,3.0,No,No,Intel Core i7,0,1000,0,0,Nvidia,Windows
HP,Notebook,15.6,1920x1080,6,Windows 10,1.91,No,No,Intel Core i5,256,0,0,0,AMD,Windows
HP,Notebook,15.6,1366x768,8,Windows 10,1.91,No,No,Intel Core i5,256,0,0,0,Intel,Windows
Acer,Notebook,17.3,1920x1080,8,Windows 10,3.0,Yes,No,Intel Core i5,256,0,0,0,Nvidia,Windows
Lenovo,Notebook,15.6,1920x1080,8,Windows 10,2.6,Yes,No,Intel Core i7,0,1000,0,0,Nvidia,Windows
MSI,Gaming,17.3,1920x1080,16,Windows 10,2.43,No,No,Intel Core i7,256,2000,0,0,Nvidia,Windows
Lenovo,Notebook,14.0,1366x768,4,Windows 10,1.43,No,No,Other Intel Processor,0,0,32,0,Intel,Windows
HP,Notebook,14.0,1920x1080,4,Windows 10,1.95,No,No,Intel Core i5,256,0,0,0,Intel,Windows
Acer,Notebook,15.6,1920x1080,8,Linux,2.4,No,No,Intel Core i7,0,1000,0,0,Nvidia,Other/No OS/Linux
Dell,Ultrabook,13.3,1920x1080,8,Windows 10,1.21,Yes,No,Intel Core i5,256,0,0,0,Intel,Windows
Acer,Notebook,15.6,1366x768,4,Linux,2.4,No,No,Intel Core i3,0,500,0,0,Intel,Other/No OS/Linux
Dell,Notebook,14.0,1920x1080,8,Linux,1.64,No,No,Intel Core i5,256,0,0,0,Nvidia,Other/No OS/Linux
HP,Notebook,17.3,1920x1080,16,Windows 10,2.9,Yes,No,Intel Core i7,0,1000,0,0,Nvidia,Windows
Lenovo,Notebook,15.6,1366x768,8,Windows 10,2.2,No,No,Intel Core i3,128,0,0,0,Intel,Windows
HP,Netbook,12.5,1920x1080,8,Windows 10,0.97,No,No,Other Intel Processor,512,0,0,0,Intel,Windows
MSI,Gaming,15.6,1920x1080,16,Windows 10,2.2,No,No,Intel Core i7,256,1000,0,0,Nvidia,Windows
Asus,Gaming,15.6,1920x1080,16,Windows 10,2.1,No,No,Intel Core i7,128,1000,0,0,Nvidia,Windows
Dell,2 in 1 Convertible,13.3,1920x1080,16,Windows 10,1.22,No,Yes,Intel Core i7,256,0,0,0,Intel,Windows
MSI,Gaming,15.6,1920x1080,8,Windows 10,2.2,No,No,Intel Core i5,128,1000,0,0,Nvidia,Windows
Dell,Notebook,15.6,1920x1080,8,Windows 10,2.2,No,No,Intel Core i7,256,0,0,0,AMD,Windows
Toshiba,Notebook,13.3,1920x1080,8,Windows 10,1.2,No,No,Intel Core i5,256,0,0,0,Intel,Windows
Acer,Notebook,15.6,1366x768,4,Windows 10,2.1,No,No,AMD Processor,0,500,0,0,AMD,Windows
Lenovo,Ultrabook,14.0,1920x1080,8,Windows 10,1.7,Yes,No,Intel Core i7,256,0,0,0,Intel,Windows
Lenovo,Notebook,13.3,1920x1080,8,Windows 10,1.44,No,No,Intel Core i5,256,0,0,0,Intel,Windows
Lenovo,2 in 1 Convertible,13.3,1920x1080,8,Windows 10,1.3,Yes,Yes,Intel Core i5,256,0,0,0,Intel,Windows
Asus,Notebook,14.0,1366x768,4,Windows 10,1.5,No,No,Other Intel Processor,0,0,32,0,Intel,Windows
HP,Notebook,14.0,1366x768,4,Windows 10,1.48,No,No,Intel Core i5,256,0,0,0,Intel,Windows
Other,Ultrabook,12.3,2400x1600,16,Chrome OS,1.1,No,Yes,Intel Core i7,512,0,0,0,Intel,Other/No OS/Linux
HP,Notebook,13.3,1920x1080,8,Windows 10,1.49,No,No,Intel Core i5,256,0,0,0,Intel,Windows
Lenovo,Ultrabook,14.0,1920x1080,4,Windows 10,1.7,No,No,Intel Core i5,180,0,0,0,Intel,Windows
Dell,Notebook,15.6,1920x1080,8,Windows 10,2.36,No,No,Intel Core i7,128,1000,0,0,AMD,Windows
